,SourceID,RA,Dec,file_loc
207,AHZ2001p3y,149.5002181,1.7944762,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001p3y_300_300_3.jpeg
208,AHZ2000d9j,149.7650366,1.9310273,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000d9j_300_300_3.jpeg
209,45935271,,,/media/team_workspaces/astronomaly-project/images/18k-sample/45935271.jpeg
210,AHZ20012ne,149.6347848,2.4547636,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ20012ne_300_300_3.jpeg
211,4104009463,265.2035862,-53.6828221,/media/team_workspaces/astronomaly-project/images/18k-sample/4104009463.jpeg
212,4177369673,16.0244584,2.2165857000000004,/media/team_workspaces/astronomaly-project/images/18k-sample/4177369673.jpeg
213,AHZ2001lkd,150.23776719999998,2.8572357000000004,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001lkd.jpeg
214,AHZ2001pzq,150.0772896,2.0091273,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001pzq_300_300_3.jpeg
215,AHZ2001q8j,149.4686258,2.010809,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001q8j_300_300_3.jpeg
216,AHZ20005ra,149.9257195,1.6535809,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ20005ra_300_300_3.jpeg
217,4000714450512,10.9873461,41.4176804,/media/team_workspaces/astronomaly-project/images/18k-sample/4000714450512.jpeg
218,13924246,,,/media/team_workspaces/astronomaly-project/images/18k-sample/13924246.jpeg
219,4000712975826,11.4658183,42.0248385,/media/team_workspaces/astronomaly-project/images/18k-sample/4000712975826.jpeg
220,AHZ20017t8,150.1329305,2.5739511,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ20017t8_300_300_3.jpeg
221,AHZ20007k8,149.5967356,1.6305503000000001,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ20007k8.jpeg
222,AHZ2001cn4,150.742189,2.6767817,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001cn4_300_300_3.jpeg
223,AHZ200142p,150.6611045,2.5613113999999997,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ200142p.jpeg
224,AHZ20006st,149.68373789999998,1.7572743000000002,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ20006st.jpeg
