,SourceID,reps_x,reps_y,file_loc
186,AHZ2001juy,6.202805,8.200011,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001juy_300_300_3.jpeg
187,6000535781579,,,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/6000535781579.jpeg
188,AHZ2001bne,-1.9812281,6.4009376,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001bne.jpeg
189,83653120,-1.0664887,11.230548,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/83653120.jpeg
190,AGZ00080d0,-2.7702239,10.380713,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AGZ00080d0.jpeg
191,4000707167813,12.10478,10.775755,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000707167813.jpeg
192,AHZ2001nmx,-3.611429,10.869182,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001nmx_300_300_3.jpeg
193,AHZ40003ao,-1.2196546,7.6830196,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ40003ao_300_300_3.jpeg
194,AHZ2000j01,-2.715091,10.231733,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000j01_300_300_3.jpeg
195,AHZ2000g4x,-3.860596,8.0900135,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000g4x_300_300_3.jpeg
196,4000713489624,12.276143,10.237147,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000713489624.jpeg
197,4553082555,-1.211335,14.309839,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4553082555.jpeg
198,AHZ2000d82,-0.23934631,5.867,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000d82.jpeg
199,4176788287,5.835827,10.946717,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4176788287.jpeg
